Name,Color,Size,HelperField,Variant internal ID,Image
Boot MNS Sierra Work Boot,Aged Bark,10.5N,"Boot MNS Sierra Work Boot,Aged Bark,10.5N",10004986-10.5N,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,11.5N,"Boot MNS Sierra Work Boot,Aged Bark,11.5N",10004986-11.5N,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,13N,"Boot MNS Sierra Work Boot,Aged Bark,13N",10004986-13N,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,8M,"Boot MNS Sierra Work Boot,Aged Bark,8M",10004986-8M,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,8.5M,"Boot MNS Sierra Work Boot,Aged Bark,8.5M",10004986-8.5M,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,9.5M,"Boot MNS Sierra Work Boot,Aged Bark,9.5M",10004986-9.5M,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,11.5M,"Boot MNS Sierra Work Boot,Aged Bark,11.5M",10004986-11.5M,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,12M,"Boot MNS Sierra Work Boot,Aged Bark,12M",10004986-12M,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,13M,"Boot MNS Sierra Work Boot,Aged Bark,13M",10004986-13M,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,9W,"Boot MNS Sierra Work Boot,Aged Bark,9W",10004986-9W,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,9.5W,"Boot MNS Sierra Work Boot,Aged Bark,9.5W",10004986-9.5W,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,12W,"Boot MNS Sierra Work Boot,Aged Bark,12W",10004986-12W,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,13W,"Boot MNS Sierra Work Boot,Aged Bark,13W",10004986-13W,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
Boot MNS Sierra Work Boot,Aged Bark,14W,"Boot MNS Sierra Work Boot,Aged Bark,14W",10004986-14W,https://cdn2.webdamdb.com/220th_sm_oHJcCJC7IPE7.jpg?1622154875
"Boot MNS Groundbreaker 6"" II Waterproof Steel Toe Work Boot",Dark Brown,7M,"Boot MNS Groundbreaker 6"" II Waterproof Steel Toe Work Boot,Dark Brown,7M",10026147-7M,https://cdn2.webdamdb.com/220th_sm_Y86qFiDJI36.jpg?1583389759
"Boot MNS Groundbreaker 6"" II Waterproof Steel Toe Work Boot",Dark Brown,7.5M,"Boot MNS Groundbreaker 6"" II Waterproof Steel Toe Work Boot,Dark Brown,7.5M",10026147-7.5M,https://cdn2.webdamdb.com/220th_sm_Y86qFiDJI36.jpg?1583389759
"Boot MNS Groundbreaker 6"" II Waterproof Steel Toe Work Boot",Dark Brown,8M,"Boot MNS Groundbreaker 6"" II Waterproof Steel Toe Work Boot,Dark Brown,8M",10026147-8M,https://cdn2.webdamdb.com/220th_sm_Y86qFiDJI36.jpg?1583389759
