Original Address,Formatted Address,Street1,Street2,City,State,Country,Postal Code
222 OLD COACH ROAD  RIVERVIEW ,222 OLD COACH ROAD  RIVERVIEW,222 OLD COACH ROAD,,RIVERVIEW,NB,CA,E1B 1J1
   ,,,,,,,
660 BRIDGE STREET  MONTREAL ,"MONTREAL, QC, CANADA",660BRIDGE STREET,,MONTREAL,QC,CA,
3500 COTE-VERTU  VILLE SAINT-LAURENT ,3500 COTE-VERTU  VILLE SAINT-LAURENT,3500 BOULEVARD DE LA CÔTE-VERTU,,MONTREAL,QC,CA,H4R 1P8
4/48 HOLDER WAY  MALAGA ,"HOLDER WAY, MALAGA, WA, AUSTRALIA",HOLDER WAY,,MALAGA,WA,AU,
 4485 DOBRIN SAINT-LAURENT ,4485 DOBRIN SAINT-LAURENT,4485 BOULEVARD SAINT-LAURENT,,MONTREAL,QC,CA,
"POSTBOKS 33 FAREXVEIEN, LINDEBERG N-2016 FROGNER ",POSTBOKS 33 FAREXVEIEN LINDEBERG N-2016 FROGNER,,POSTBOKS 33,,,,
N49W13650 CAMPBELL DR.  MENOMONEE ,N49W13650 CAMPBELL DR.  MENOMONEE,N49W 13650 CAMPBELL DRIVE,,MENOMONEE FALLS,WI,US,53051
660C LEG IN BOOT SQUARE  VANCOUVER ,660C LEG IN BOOT SQUARE  VANCOUVER,LEG-IN-BOOT SQUARE,,VANCOUVER,BC,CA,V5Z
5100 DE MAISONNEUVE O.  MONTREAL ,5100 DE MAISONNEUVE O.  MONTREAL,5100 BOULEVARD DE MAISONNEUVE O,,MONTREAL,QC,CA,
Andrew Hedrei 9255 LACORDAIRE ST-LÉONARD ,ANDREW HEDREI 9255 LACORDAIRE ST-LONARD,9255 YARROW STREET,,BROOMFIELD,CO,US,80021
20 RUE DE LA COORPERATIVE  RIGAUD ,20 RUE DE LA COORPERATIVE  RIGAUD,20 RUE DE LA COOPÉRATIVE,,RIGAUD,QC,CA,
 1221 - 32nd AVENUE LACHINE ,"LACHINE, MONTREAL, QC, CANADA",1221-32ND AVENUE,,MONTREAL,QC,CA,
