Original Address,Formatted Address,Street1,Street2,City,State,Country,Postal Code
 ,,,,,,,
 ,,,,,,,
 ,,,,,,,
"508 US Route 66 West
Moriarty NM 87035
USA ",508 US ROUTE 66 WEST MORIARTY NM 87035 USA,508 US ROUTE 66 WEST,,MORIARTY,NM,US,87035
"4327 MANHATTAN ROAD SE
CALGARY, ALBERTA T2G-4B1
CANADA ",4327 MANHATTAN ROAD SE CALGARY ALBERTA T2G-4B1 CANADA,4327 MANHATTAN ROAD SE,,CALGARY,AB,CA,T2G 1Y3
 ,,,,,,,
"2301 PLAXTON CHURCH ROAD
HARRISSBURG PA 17110
U.S. ",2301 PLAXTON CHURCH ROAD HARRISSBURG PA 17110 U.S.,2301 CHURCH ROAD,,YORK,PA,US,17408
"C/O ECHODATA GROUP
15 BOULDEN CIRCLE
SUITE 200
NEW CASTLE DE 19720
U.S. ",CO ECHODATA GROUP 15 BOULDEN CIRCLE SUITE 200 NEW CASTLE DE 19720 U.S.,15 BOULDEN CIRCLE,SUITE 200,NEW CASTLE,DE,US,19720
"5700 BRECKSVILLE ROAD
INDEPENDENCE OH 45131
U.S. ",5700 BRECKSVILLE ROAD INDEPENDENCE OH 45131 U.S.,5700 BRECKSVILLE ROAD,,INDEPENDENCE,OH,US,44131
 ,,,,,,,
"5180 ALLISONVILLE RD
INDIANAPOLIS IN 46205 ",5180 ALLISONVILLE RD INDIANAPOLIS IN 46205,5180 ALLISONVILLE ROAD,,INDIANAPOLIS,IN,US,46205
