Original Address,Formatted Address,Street1,Street2,City,State,Country,Postal Code
222 OLD COACH ROAD  RIVERVIEW ,222 OLD COACH ROAD  RIVERVIEW,222 Old Coach Road,,Riverview,NB,ca,E1B 1J1
   ,,,,,,,
660 BRIDGE STREET  MONTREAL ,660 BRIDGE STREET  MONTREAL,660bridge street,,Montreal,AR,us,
3500 COTE-VERTU  VILLE SAINT-LAURENT ,3500 COTE-VERTU  VILLE SAINT-LAURENT,3500 Boulevard de la Côte-Vertu,,Montreal,QC,ca,H4R 1P8
4/48 HOLDER WAY  MALAGA ,448 HOLDER WAY  MALAGA,448holder way,,Malaga,Samar,ph,
 4485 DOBRIN SAINT-LAURENT ,4485 DOBRIN SAINT-LAURENT,4485 Boulevard Saint-Laurent,,Montreal,QC,ca,
"POSTBOKS 33 FAREXVEIEN, LINDEBERG N-2016 FROGNER ",POSTBOKS 33 FAREXVEIEN LINDEBERG N-2016 FROGNER,,postboks 33,,,,
N49W13650 CAMPBELL DR.  MENOMONEE ,N49W13650 CAMPBELL DR.  MENOMONEE,N49W 13650 Campbell Drive,,Menomonee Falls,WI,us,53051
660C LEG IN BOOT SQUARE  VANCOUVER ,660C LEG IN BOOT SQUARE  VANCOUVER,Leg-in-boot Square,,Vancouver,BC,ca,V5Z
5100 DE MAISONNEUVE O.  MONTREAL ,5100 DE MAISONNEUVE O.  MONTREAL,5100 Boulevard De Maisonneuve O,,Montreal,QC,ca,
Andrew Hedrei 9255 LACORDAIRE ST-LÉONARD ,Andrew Hedrei 9255 LACORDAIRE ST-LONARD,9255 Yarrow Street,,Broomfield,CO,us,80021
20 RUE DE LA COORPERATIVE  RIGAUD ,20 RUE DE LA COORPERATIVE  RIGAUD,20 Rue de la Coopérative,,Rigaud,QC,ca,
 1221 - 32nd AVENUE LACHINE ,1221 - 32nd AVENUE LACHINE,1221-32nd avenue,,Lachine,MI,us,
