Original Address,Formmatted Address,Street1,Street2,City,State,Postal Code,Country
Mail Code 5281 PO Box 660367  DALLAS TX 75266-0367  ,Mail Code 5281 PO Box 660367  DALLAS TX 752660367  , ,,,,,
10193 BEARDON DRIVE #1   CUPERTINO CA 95014  ,"10193 Beardon Drive, San Jose, CA, USA",10193 Beardon Drive,1,San Jose,CA,,USA
7708 WASABI WAY   GILROY CA 95020  ,"7708 Wasabi Way, Gilroy, CA, USA",7708 Wasabi Way,,Gilroy,CA,,USA
305 PIERCY ROAD   SAN JOSE CA 95138 USA ,"305 Piercy Road, San Jose, CA, USA",305 Piercy Road,,San Jose,CA,,USA
875 Stanton Road   BURLINGAME CA 94010 USA ,"875 Stanton Road, Burlingame, CA, USA",875 Stanton Road,,Burlingame,CA,,USA
374 REED STREET   SANTA CLARA CA 95050  ,"374 Reed Street, Santa Clara, CA, USA",374 Reed Street,,Santa Clara,CA,,USA
2986 Scott Blvd.   Santa Clara CA 95054 USA ,"2986 Scott Bl, Santa Clara, CA, USA",2986 Scott Bl,,Santa Clara,CA,,USA
23 LAS COLINAS LANE SUITE 108  SAN JOSE CA 95119  ,"23 Las Colinas Lane, San Jose, CA, USA",23 Las Colinas Lane,suite 108,San Jose,CA,,USA
632 W. 24th Street   Tempe AZ 85282 USA ,"632 West 24th Street, Tempe, AZ, USA",632 West 24th Street,,Tempe,AZ,,USA
2210 WALSH AVE   SANTA CLARA CA 95050  ,"2210 Walsh Avenue, Santa Clara, CA, USA",2210 Walsh Avenue,,Santa Clara,CA,,USA
