Internal Reference,Name, Sales Price , Cost ,Product Category,Attribute,Value
BD-17632-B01-15,Tone on Tone - White - 15-yard bolt, $ 49.20 , $ 27.75 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-17632-B01-13.25,Tone on Tone - White - 13.25-yard bolt, $ 43.46 , $ 24.51 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-17632-B01-13.125,Tone on Tone - White - 13.125-yard bolt, $ 43.05 , $ 24.28 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-17632-B01-12.625,Tone on Tone - White - 12.625-yard bolt, $ 41.41 , $ 23.36 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-17632-B01-12.25,Tone on Tone - White - 12.25-yard bolt, $ 40.18 , $ 22.66 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-17632-B01-11.875,Tone on Tone - White - 11.875-yard bolt, $ 38.95 , $ 21.97 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
,,,,,attribute_fabric_type,fabric_type_1
,,,,,attribute_fiber_contents,fiber_contents_1
,,,,,attribute_fabric_width,fabric_width_1
,,,,,attribute_putup_format,putup_format_1
BD-17632-B01-10,Tone on Tone - White - 10-yard bolt, $ 32.80 , $ 18.50 ,Units,attribute_manufacturer,manufacturer_1
,,,,,attribute_collection,collection_1
,,,,,attribute_color,color_1
,,,,,attribute_vendor_sku,vendor_sku_1
